"name","year","ppt","springT"
"DeSoto Bend Lake",2017,478.064002990723,10.8226669629415
"DeSoto Bend Lake",2018,386.186995506287,9.86033368110657
"DeSoto Bend Lake",2019,583.541990280151,8.74366648246845
"DeSoto Bend Lake",2020,420.487002372742,9.93716669082642
"DeSoto Bend Lake",2021,479.390193939209,11.2649995485942
"Diamond Lake",2017,476.41999912262,9.69800066947937
"Diamond Lake",2018,379.223999977112,8.72400033473969
"Diamond Lake",2019,782.864009857178,7.88613303999106
"Diamond Lake",2020,427.571001529694,9.37346649169922
"Diamond Lake",2021,417.568193435669,10.4754996299744
"Dog Creek Lake",2017,407.410005569458,8.22900036970774
"Dog Creek Lake",2018,411.610998868942,7.21833393971125
"Dog Creek Lake",2019,553.684003829956,6.1814664999644
"Dog Creek Lake",2020,401.689996480942,7.93899997075399
"Dog Creek Lake",2021,320.197491645813,9.17679945627848
"Don Williams Lake",2017,478.46600151062,9.21700040499369
"Don Williams Lake",2018,477.889002323151,8.34266738096873
"Don Williams Lake",2019,585.813003540039,7.47930002212524
"Don Williams Lake",2020,525.768010139465,8.95846637090047
"Don Williams Lake",2021,348.146189689636,10.2837664286296
"East Lake Osceola",2017,422.610996246338,10.6096671422323
"East Lake Osceola",2018,421.352993965149,9.73766748110453
"East Lake Osceola",2019,770.164989471436,8.61646670103073
"East Lake Osceola",2020,466.397009134293,9.96849981943766
"East Lake Osceola",2021,452.5465965271,10.9708998998006
"East Okoboji Lake",2017,460.4850025177,7.39166704813639
"East Okoboji Lake",2018,461.787003278732,5.99266715844472
"East Okoboji Lake",2019,649.073997497559,5.67016649246216
"East Okoboji Lake",2020,509.905996322632,7.33349982897441
"East Okoboji Lake",2021,320.653297424316,8.52076625823975
"Eldred Sherwood Lake",2017,490.663999557495,7.75466703871886
"Eldred Sherwood Lake",2018,591.546007156372,6.47866702079773
"Eldred Sherwood Lake",2019,589.454002380371,6.02679967880249
"Eldred Sherwood Lake",2020,550.856002807617,7.70126644770304
"Eldred Sherwood Lake",2021,339.259890556335,8.95619948705037
"Five Island Lake",2017,428.536003112793,8.4853338599205
"Five Island Lake",2018,497.83599281311,7.02900012334188
"Five Island Lake",2019,602.321002006531,6.4024666150411
"Five Island Lake",2020,444.335995674133,7.62466661135356
