siteID,name,county,latitude,longitude,sampleDate,year,result,unit,detect,detectLimit
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,8/30/2017 8:30,2017,0.3,ug/l,FALSE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,8/29/2017 10:30,2017,0.3,ug/l,FALSE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,8/21/2017 10:45,2017,0.3,ug/l,FALSE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,8/15/2017 10:56,2017,0.3,ug/l,FALSE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,8/1/2017 13:00,2017,0.3,ug/l,FALSE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,8/8/2017 10:30,2017,0.3,ug/l,FALSE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,7/25/2017 10:50,2017,0.3,ug/l,FALSE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,7/18/2017 12:00,2017,0.3,ug/l,FALSE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,7/11/2017 10:30,2017,0.3,ug/l,FALSE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,6/27/2017 11:12,2017,0.3,ug/l,FALSE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,7/3/2017 10:47,2017,0.3,ug/l,FALSE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,6/13/2017 11:30,2017,0.41,ug/l,TRUE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,6/20/2017 10:45,2017,0.3,ug/l,FALSE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,6/6/2017 10:52,2017,0.3,ug/l,FALSE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,5/30/2017 11:10,2017,0.3,ug/l,FALSE,0.3
21280001,Backbone Beach,Delaware,42.6014519,-91.5341972,5/23/2017 11:05,2017,0.3,ug/l,FALSE,0.3
21300001,Gull Point Beach,Dickinson,43.3712216,-95.1608446,5/24/2017 10:50,2017,0.3,ug/l,FALSE,0.3
21300001,Gull Point Beach,Dickinson,43.3712216,-95.1608446,6/7/2017 9:30,2017,0.3,ug/l,FALSE,0.3
21300001,Gull Point Beach,Dickinson,43.3712216,-95.1608446,5/31/2017 11:15,2017,0.3,ug/l,FALSE,0.3
21300001,Gull Point Beach,Dickinson,43.3712216,-95.1608446,6/21/2017 9:40,2017,0.3,ug/l,FALSE,0.3
21300001,Gull Point Beach,Dickinson,43.3712216,-95.1608446,6/14/2017 10:39,2017,0.3,ug/l,FALSE,0.3
21300001,Gull Point Beach,Dickinson,43.3712216,-95.1608446,7/5/2017 9:45,2017,1.44,ug/l,TRUE,0.3
21300001,Gull Point Beach,Dickinson,43.3712216,-95.1608446,6/28/2017 11:00,2017,0.3,ug/l,FALSE,0.3
21300001,Gull Point Beach,Dickinson,43.3712216,-95.1608446,7/12/2017 10:45,2017,0.3,ug/l,FALSE,0.3
21300001,Gull Point Beach,Dickinson,43.3712216,-95.1608446,7/19/2017 10:15,2017,0.3,ug/l,FALSE,0.3
21300001,Gull Point Beach,Dickinson,43.3712216,-95.1608446,7/26/2017 10:30,2017,0.52,ug/l,TRUE,0.3
21300001,Gull Point Beach,Dickinson,43.3712216,-95.1608446,8/2/2017 10:00,2017,0.3,ug/l,FALSE,0.3
21300001,Gull Point Beach,Dickinson,43.3712216,-95.1608446,8/9/2017 11:18,2017,0.3,ug/l,FALSE,0.3
21300001,Gull Point Beach,Dickinson,43.3712216,-95.1608446,8/16/2017 9:40,2017,0.37,ug/l,TRUE,0.3
